# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# KRM: Database of the Kanchi-in Manuscript of Ruiju Myōgishō
#
# Ruiju myogishō 類聚名義抄, Kanchi-in manuscript 観智院本, reorganized edition 改編本.
# anonymous Buddhist monk, the latter half of the 12th century.
#
# krm_notes.tsv
#
# Version: 1.2.48 (latest, Newly released after the specification change)
# Date published: March 28, 2025
# Last modified: September 5, 2026
#
#
# Copyright (c) 2025-2026 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com, kleinekuma@gmail.com
#
# Data License Information and Access Rights
# License:
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability):
# Open access
#
# KRM format information:
# entry_id	A heading item ID formed by a 5-digit numeric ID starting with 'F'. For some added entry items, a 'b' suffix is appended.
# definition_seq_id	5-digit numeric ID starting with 'F', sequentially assigned to heading entries. Definition components under each heading are ordered based on their appearance, and order indicators like _01, _02, etc., are appended accordingly. The heading itself is appended with _00.
# kazama_location	An ID indicating K + Volume (2 digits) + Kazama Edition Page (3 digits) + Line (1 digit) + Segment (1 digit) + 字順 (1 digit). Details of the rules for assigning 字順 are defined separately.
# tenri_location	An ID indicating T + Volume (a/b/c) + Tenri Edition Page (3 digits) + Line (1 digit) + Segment (1 digit) + 字順 (1 digit). Details of the rules for assigning 字順 are defined separately.
# volume_name	Name of the volume, consisting of 10 volumes: 仏上, 仏中, 仏下本, 仏下末, 法上, 法中, 法下, 僧上, 僧中, and 僧下.
# radical_name	Hanzi name of the radical, consisting of 120 radicals ranging from 人 to 雑, used to classify Hanzi characters.
# volume_radical_index	Volume and radical number, ranging from v1#1 to v10#120, indicating the location of the entry within the text.
# hanzi_entry	Corrected hanzi are principally in the Kangxi Dictionary form. Unicode simplified characters (common-use characters, popular variants) may also be retained.For certain characters and character components not included in Unicode, simplified notations based on the entity reference systems used by CHISE and GlyphWiki (e.g., CDP-8C55, koseki-00001) have been used for representation. Multiple-kanji headwords are separated by / (full-width slash). The abbreviation symbol "｜" is represented by "ー" (long vowel mark), with the corresponding character in parentheses.
# original_entry	Headword close to original form. Errors as is. Non-Unicode variants: IDS or ■. Like hanzi_entry, "〇" if no original-glyph headword needed.
# definition_elements	Extracted components from the full definition, classified into 5 categories: glyph annotations, pronunciation annotations, meaning annotations, Japanese readings (wakun), and others, one component per entry.
# definition_type_code	3-digit numeric code representing the definition type.
# definition_type_name	Indicates which of the following five categories the definition type belongs to: glyph annotation, pronunciation annotation, meaning annotation, wakun, and others.
# remarks	Editor's notes providing additional context or information.
#
#   Abbreviations:
#   正宗索引: 正宗敦夫編『類聚名義抄 仮名索引』日本古典全集刊行会，1939-1940
#   望月和訓集成: 望月郁子編『類聚名義抄：四種声点付和訓集成』(笠間索引叢刊44)笠間書院，1974
#   草川和訓集成: 草川昇編『五本対照類聚名義抄和訓集成』汲古書院，2000
#   西端誤写考察: 西端幸雄「類聚名義抄における誤写の考察」『訓点語と訓点資料』45，1971
#   西端誤写諸例: 西端幸雄「類聚名義抄における誤写の諸例」『訓点語と訓点資料』52，1973
#
# Acknowledgments:
# We are grateful to Tenri Central Library and Yagi Shoten for permission to publish the decipherment text of KRM.
#
# This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 23K17500,25K00466 and 26K21717.
#
entry_id	definition_seq_id	kazama_location	tenri_location	volume_name	radical_name	volume_radical_index	hanzi_entry	original_entry	definition_elements	definition_type_code	definition_type_name	remarks
F00001	F00001_00	K01001310	Ta023310	仏上	人	v1#1	人	〇		100	見出し	
F00001	F00001_01	K01001310	Ta023310	仏上	人	v1#1	人	〇	音仁（LV）「ニン」	215	音注声点有_類音注等	広韻「如鄰切」（平声眞韻、仁）。
F00001	F00001_02	K01001310	Ta023310	仏上	人	v1#1	人	〇	ヒト（HL）	411	和訓声点有	この項目から数項目の和訓の声点の位置に言及（佐藤栄作「カタカナの字体から見た声点とその位置」『論集』13、31頁、2017年）。詩・秦風・黃鳥「人百其身」、静嘉堂文庫本毛詩鄭箋巻6・288行「人ヒト（左）ヒトヽヽ其の身を百モヽチニセン」。
F00001	F00001_03	K01001310	Ta023310	仏上	人	v1#1	人	〇	ワレ（LL）	411	和訓声点有	蓮成院本（上1・1オ1）・高山寺本（3オ3）「ワレ（LH）」。遊仙窟「窮鬼故調人（コトサラニワレヲナヤマス）」による特殊訓な文脈に頼りすぎた訓。中村宗彦「類聚名義抄和訓の定位」14頁。声点の位置に言及（佐藤栄作「カタカナの字体から見た声点とその位置」『論集』13、31頁、2017年）。
F00001	F00001_04	K01001310	Ta023310	仏上	人	v1#1	人	〇	サネ	421	和訓	蓮成院本（上1・1オ1）「サネ（LL）」。高山寺本（3オ3）「サネ（LL）」。正宗索引「尒はネ」。中村宗彦は「サニ」と判読し「「仁」の通用であるならば当然その旨の注記が望ましい」とする（中村宗彦「類聚名義抄和訓の定位」14頁）。
F00001	F00001_05	K01001310	Ta023310	仏上	人	v1#1	人	〇	マホル	421	和訓	
F00001	F00001_06	K01001310	Ta023310	仏上	人	v1#1	人	〇	ユク	421	和訓	
F00002	F00002_00	K01001331	Ta023331	仏上	人	v1#1	一／人	〇／〇		100	見出し	
F00002	F00002_01	K01001331	Ta023331	仏上	人	v1#1	一／人	〇／〇	ヒトリ（LH_）	411	和訓声点有	蓮成院本（上1・1オ1）・高山寺本（3オ4）「ヒトリ（LHL）」。
F00003	F00003_00	K01001341	Ta023341	仏上	人	v1#1	二／人	〇／〇		100	見出し	高山寺本になし。岡田研究183頁。
F00003	F00003_01	K01001341	Ta023341	仏上	人	v1#1	二／人	〇／〇	フタリ（HHL）	411	和訓声点有	
F00004	F00004_00	K01001411	Ta023411	仏上	人	v1#1	五／ー（人）	〇／〇		100	見出し	
F00004	F00004_01	K01001411	Ta023411	仏上	人	v1#1	五／ー（人）	〇／〇	イトリ（LHL）	411	和訓声点有	書・夏書・五子之歌「厥弟五人御其母以從」、内野本「五人イトリ」。中村文選（534頁・好）「五子イトリノ」。日国「い‐とり 【五人】」補注に「多く訓点資料に用いられる。」とあり。
F00005	F00005_00	K01001421	Ta023421	仏上	人	v1#1	ー（人）／等	〇／〇		100	見出し	
F00005	F00005_01	K01001421	Ta023421	仏上	人	v1#1	ー（人）／等	〇／〇	ヒトヽモ（HHHVH）	411	和訓声点有	日国未収。
F00006	F00006_00	K01001431	Ta023431	仏上	人	v1#1	湯／ー（人）	〇／〇		100	見出し	
F00006	F00006_01	K01001431	Ta023431	仏上	人	v1#1	湯／ー（人）	〇／〇	ユヱ（L_）	411	和訓声点有	高山寺本（3オ4）「ユヱ（LL）」。日本書紀巻14雄略天皇三年四月に「湯人　此云臾衛」。日国に「令制前、貴人の産児に湯をつかわせる役の女性。また、皇子・皇女の養育者をもいう。湯殿に奉仕する人の意ともいう」と説明。
F00007	F00007_00	K01001441	Ta023441	仏上	人	v1#1	真／人	〇／〇		100	見出し	
